N	2gram	Tiupa_Hudo	Literetu
368	субъекта в	2	3
369	в концовке	6	3
370	где в	2	3
371	героя и	5	3
372	в этих	7	3
373	все равно	2	3
374	не по	2	3
375	и состоит	4	3
376	речь в	2	3
377	не могло	2	3
378	за ним	3	3
379	ни с	2	3
380	не имеет	2	3
381	всей своей	2	3
382	а то	2	3
383	перед жизнью	2	3
384	в роли	3	3
385	он в	2	3
386	в творчестве	4	3
387	или иную	2	3
388	когда он	2	3
389	отношения между	2	3
390	путь к	2	3
391	со своей	3	3
392	жизни с	3	3
393	все что	4	3
394	здесь не	2	3
395	и уже	3	3
396	говорить о	4	3
397	же самое	4	3
398	же и	3	3
399	поскольку в	2	3
400	с ним	6	3
401	он все	2	2
402	к своим	2	2
403	чтобы не	3	2
404	свое время	2	2
405	перед нами	13	2
406	к художественному	2	2
407	а и	2	2
408	а вот	2	2
409	и сама	3	2
410	от него	3	2
411	для нее	6	2
412	еще раз	2	2
413	приходит к	3	2
414	человека и	4	2
415	как было	2	2
416	оно было	2	2
417	такова что	2	2
418	сам не	2	2
419	внутреннего я	3	2
420	и у	3	2
421	есть и	3	2
422	и каждый	2	2
423	роль в	2	2
424	это и	2	2
425	а как	2	2
426	о природе	3	2
427	личного бытия	3	2
428	она как	2	2
429	нас к	2	2
430	жизнь есть	3	2
431	героя в	2	2
432	не зная	2	2
433	была бы	3	2
434	своего времени	3	2
435	на вопрос	2	2
436	картину мира	3	2
437	в такой	2	2
438	из нас	5	2
439	я а	2	2
440	эстетической природы	3	2
441	тем как	2	2
442	человека не	3	2
443	не согласиться	2	2
444	бы на	2	2
445	в него	2	2
446	и тех	3	2
447	тому что	8	2
448	что ей	2	2
449	к нему	2	2
450	она не	6	2
451	а только	4	2
452	с собачкой	15	2
453	и м	2	2
454	но мы	2	2
455	и об	3	2
456	своей собственной	2	2
457	ему в	3	2
458	картина мира	4	2
459	жизненной позиции	2	2
460	что на	4	2
461	ключ к	2	2
462	же касается	2	2
463	его я	3	2
464	жизнь и	2	2
465	и говорит	2	2
466	воспринимающего сознания	2	2
467	с ними	3	2
468	в центре	4	2
469	впервые в	2	2
470	и по	3	2
471	первый раз	2	2
472	несет в	4	2
473	писателя в	2	2
474	бытия и	4	2
475	дело не	2	2
476	что они	4	2
477	мире не	2	2
478	и ее	3	2
479	индивидуальной жизни	2	2
480	и более	2	2
481	способ существования	2	2
482	и героя	2	2
483	может и	3	2
484	сказать что	3	2
485	если говорить	3	2
486	по поводу	3	2
487	никак не	3	2
488	в лице	3	2
489	первой половине	3	2
490	слово не	2	2
491	бы в	2	2
492	как нам	3	2
493	значительной степени	3	2
494	человека а	2	2
495	с другими	2	2
496	в результате	2	2
497	равной мере	2	2
498	из этих	3	2
499	так сказать	3	2
500	однако и	5	2
501	этой связи	5	2
502	по мнению	6	2
503	в толпе	2	2
504	на это	2	2
505	человек с	2	2
506	субъектов жизни	2	2
507	в это	4	2
508	к концу	2	2
509	в зеркале	2	2
510	в значительной	3	2
511	не более	3	2
512	этом и	2	2
513	его сознания	2	2
514	перед собой	2	2
515	иначе говоря	2	2
516	разговоре с	2	2
517	второй половине	2	2
518	каждого из	3	2
519	в первый	2	2
520	нет я	2	2
521	та же	5	2
522	начинается и	2	2
523	в xix	2	2
524	ибо в	2	2
525	него в	2	2
526	для друга	3	2
527	произведения с	2	2
528	не означает	2	2
529	в контексте	2	2
530	быть только	2	2
531	в миропорядке	4	2
532	к той	3	2
533	в финале	5	2
534	себя во	2	2
535	зачем я	2	2
536	нет и	2	2
537	с другим	2	2
538	что у	4	2
539	раз в	5	2
540	дамы с	6	2
541	из рассказа	4	2
542	в котором	5	2
543	действительности же	2	2
544	человек в	3	2
545	пока еще	3	2
546	слова в	2	2
547	своего я	6	2
548	среди других	3	2
549	со своим	5	2
550	как все	2	2
551	еще одна	3	2
552	и было	2	2
553	всякий раз	4	2
554	это прежде	3	2
555	автором и	2	2
556	только не	3	2
557	начинается с	2	2
558	внимание на	3	2
559	раз и	2	2
560	и ему	5	2
561	можно назвать	2	2
562	в ряду	3	2
563	все та	2	2
564	но еще	3	2
565	в таком	3	2
566	жизни его	2	2
567	с какой	3	2
568	и внешней	2	2
569	внутреннего мира	2	2
570	эстетической целостности	2	2
571	на основе	2	2
572	друг для	3	2
573	но он	3	2
