N	2gram	Bakhtin_Pr	KFilosof
271	ни одна	2	2
272	и само	2	2
273	оно не	2	2
274	имеем в	2	2
275	если не	2	2
276	в процессе	4	2
277	он и	9	2
278	один из	4	2
279	себя как	5	2
280	и навсегда	2	2
281	мысль как	2	2
282	по себе	13	2
283	потому что	20	2
284	подхода к	2	2
285	не способна	2	2
286	и всех	2	2
287	раз и	4	2
288	того чтобы	5	2
289	чтобы быть	2	2
290	из самого	2	2
291	и мир	4	2
292	единство бытия	2	2
293	слова в	4	2
294	именно на	2	2
295	ведь это	3	2
296	и смерти	7	2
297	же время	10	2
298	человек и	2	2
299	этого слова	3	2
300	в этой	5	2
301	бы то	3	2
302	ни был	2	2
303	что значит	2	2
304	с его	14	2
