N	2gram	Bakhtin_Pr_3	Dialekti
611	в другой	2	1
612	д он	1	1
613	сил на	1	1
614	все в	1	1
615	все время	5	1
616	не знаю	2	1
617	человека как	4	1
618	и она	1	1
619	у которого	1	1
620	в него	3	1
621	не зная	1	1
622	эти последние	2	1
623	но так	3	1
624	но с	2	1
625	почти все	2	1
626	что только	1	1
627	пришел к	1	1
628	будто бы	2	1
629	тогда мы	1	1
630	с другим	11	1
631	с какой-то	2	1
632	было и	2	1
633	он пришел	1	1
634	которых я	2	1
635	своего собственного	3	1
636	думаете что	4	1
637	не входит	2	1
638	на всем	1	1
639	и у	5	1
640	уже в	3	1
641	другу как	1	1
642	слова не	2	1
643	рано или	1	1
644	а то	1	1
645	всего нашего	1	1
646	в душе	2	1
647	и других	1	1
648	его и	3	1
649	за ним	2	1
650	предмет и	1	1
651	тоже в	1	1
652	я делаю	1	1
653	совсем другое	3	1
654	не так	1	1
655	себе в	1	1
656	и нового	1	1
657	другую сторону	1	1
658	в конце	5	1
659	чтобы она	1	1
660	свой смысл	1	1
661	не для	2	1
662	человек так	1	1
663	бы просто	1	1
664	как его	2	1
665	человек как	1	1
666	поэтому и	1	1
667	и вдруг	4	1
668	от всякого	1	1
669	эту категорию	1	1
670	и вместе	1	1
671	о каком	1	1
672	и всему	1	1
673	же деле	1	1
674	именно как	1	1
675	или поздно	1	1
676	не были	1	1
677	она и	1	1
678	или иной	2	1
679	и человека	1	1
680	мы это	1	1
681	прямо сказать	1	1
682	с другой	4	1
683	и прежде	4	1
684	и между	1	1
685	такое же	1	1
686	прибавил он	2	1
687	что будет	1	1
688	к человеку	1	1
689	это взаимоотношение	1	1
690	на этот	1	1
691	до конца	3	1
692	выше и	1	1
693	жизнь в	1	1
694	же точно	1	1
695	него не	1	1
696	или с	1	1
697	врывается в	2	1
698	которые будут	1	1
699	был он	1	1
700	я хочу	2	1
701	но оно	1	1
702	отличается от	2	1
703	человек в	2	1
704	необходимостью и	1	1
705	где эта	1	1
706	ко всем	1	1
707	человека к	1	1
708	в москве	1	1
709	каких-то новых	1	1
710	уже вне	1	1
711	в той	2	1
712	но вы	1	1
713	себя то	2	1
714	близости к	1	1
715	это его	1	1
716	сам не	3	1
717	мы сказали	1	1
718	этом случае	2	1
719	будет и	1	1
720	любят и	1	1
721	человека который	1	1
722	у вас	2	1
723	явления с	1	1
724	имел в	1	1
725	вы говорите	1	1
726	в заключение	2	1
727	не является	2	1
728	вне своей	1	1
729	отношениях к	1	1
730	всего с	1	1
731	которых каждый	1	1
732	и от	5	1
733	и человек	1	1
734	которая в	1	1
735	в силах	2	1
736	человек и	2	1
737	себя самого	11	1
738	я хотел	2	1
739	опять-таки как	1	1
740	конце концов	3	1
741	ибо в	2	1
742	его уже	1	1
743	богу как	1	1
744	все голоса	1	1
745	все они	1	1
746	теперь же	2	1
747	хотя в	1	1
748	давно уже	1	1
749	самосознание и	1	1
750	на фоне	1	1
751	требует чтобы	1	1
752	о своем	1	1
753	в романе	1	1
754	из тех	1	1
755	слово слово	2	1
756	не знает	6	1
757	теперь она	1	1
758	в реальный	2	1
759	в глаза	3	1
760	является и	1	1
761	из этого	1	1
762	это она	1	1
763	я и	2	1
764	не верят	1	1
765	его становление	1	1
766	сущности в	1	1
767	как на	2	1
768	становится тем	1	1
769	вполне понятно	2	1
770	а я	10	1
771	о себе	18	1
772	в своих	1	1
