N	2gram	Propp_Morf_1	Problema
168	ни было	2	3
169	не знает	1	3
170	в таком	1	3
171	они не	1	3
172	смысле слова	4	2
173	можно говорить	1	2
174	он может	2	2
175	и должны	1	2
176	и есть	2	2
177	значение но	1	2
178	его не	1	2
179	мы имеем	9	2
180	но она	1	2
181	не вполне	1	2
182	оно может	3	2
183	в чем	1	2
184	с его	2	2
185	получает от	1	2
186	рабочая гипотеза	1	2
187	коем случае	1	2
188	но как	2	2
189	не все	6	2
190	или иное	1	2
191	дело идет	1	2
192	дает нам	1	2
193	показать что	4	2
194	отнесены к	1	2
195	к чему	3	2
196	и у	1	2
197	что это	1	2
198	бы не	1	2
199	ни одна	4	2
200	нами в	2	2
201	на то	2	2
202	быть поняты	1	2
203	собственно не	1	2
204	момента в	1	2
205	он должен	2	2
206	предложения и	1	2
207	на этом	3	2
208	в каждом	1	2
209	здесь мы	3	2
210	материала и	1	2
211	о которых	1	2
212	переходим к	1	2
213	отнесен к	1	2
214	как таковой	2	2
215	на первый	3	2
216	и при	1	2
217	или точнее	1	2
218	где оно	2	2
219	и более	1	2
220	в таких	2	2
221	что эта	2	2
222	она не	2	2
223	дело в	1	2
224	одна из	4	2
225	того чтобы	3	2
226	в коем	1	2
227	во всем	1	2
228	связи с	10	2
229	здесь же	3	2
230	этом отношении	1	2
231	у нас	2	2
232	не могут	4	2
233	же самое	1	2
234	для того	2	2
235	нами выше	1	2
236	можно сделать	2	2
237	здесь нет	1	2
238	том как	1	2
239	и здесь	5	2
240	в другом	2	2
241	и что	2	2
242	этот момент	3	2
243	в него	1	2
244	того что	3	2
245	что он	4	2
246	в какой	3	2
247	и ее	3	2
248	себя в	1	2
249	не можем	1	2
250	в нашей	1	2
251	в виде	2	2
252	в начале	3	2
253	не дает	1	2
254	что и	7	2
255	вовсе не	4	2
256	в некоторых	3	2
257	случае не	3	2
258	которые могут	1	2
259	тем что	4	2
260	в особенности	1	2
261	без всякой	2	2
262	чем в	1	2
263	и пр	37	2
264	и определяет	1	2
265	в россии	2	2
266	в связи	9	2
267	в частности	2	2
268	как это	3	2
269	момент может	1	2
270	из которых	3	2
271	нет а	1	2
272	по существу	12	2
273	можно сказать	2	2
274	того или	1	2
275	форм и	1	2
276	или в	4	2
277	о котором	1	2
278	не более	1	2
279	чтобы его	2	2
280	как явление	1	2
281	мы должны	3	2
282	ни к	2	2
283	области изучения	1	2
284	в этих	13	2
285	материал и	1	2
286	и другие	6	2
287	к этому	3	2
288	лежат в	1	1
289	он получает	1	1
290	лишь после	2	1
291	не вносят	1	1
292	дело обстоит	1	1
293	тех же	4	1
294	это и	2	1
295	который можно	1	1
296	от самого	1	1
297	в первом	3	1
298	из его	2	1
299	это дало	1	1
300	к созданию	1	1
301	и за	2	1
302	который в	2	1
303	что далеко	1	1
304	вопрос о	7	1
305	так чтобы	1	1
306	время как	3	1
307	с ее	1	1
308	которое в	1	1
309	такое же	1	1
310	него он	1	1
311	настоящая работа	1	1
312	как таковые	1	1
313	к целому	2	1
314	ли кто-нибудь	1	1
315	как таковая	2	1
316	по своему	2	1
317	другой более	1	1
318	что никаких	1	1
319	с трудом	1	1
320	значение и	1	1
321	определено и	1	1
322	форма может	1	1
323	вступают в	3	1
324	более как	1	1
325	подробному рассмотрению	1	1
326	которые не	1	1
327	в подобных	1	1
328	моментов а	1	1
329	более и	1	1
330	все остальные	1	1
331	им в	1	1
332	и где	1	1
333	в полном	1	1
334	могли бы	1	1
335	целый ряд	3	1
336	как уже	2	1
337	может получить	1	1
338	вопросом о	1	1
339	в материал	1	1
340	имеет в	1	1
341	это определение	1	1
342	как таковое	2	1
343	другом случае	1	1
344	то в	3	1
345	не приходится	1	1
346	очень многих	2	1
347	нужно только	1	1
348	формы в	1	1
349	то время	3	1
350	которые в	1	1
351	что так	1	1
352	в главе	1	1
353	в этой	2	1
354	бы только	1	1
355	но он	1	1
356	только один	1	1
357	но ведь	1	1
358	если он	1	1
359	не нужны	1	1
360	а вовсе	1	1
361	она все	1	1
362	моментов то	1	1
363	что каждая	1	1
364	было сделано	1	1
365	т д	39	1
366	формы но	1	1
367	и вот	1	1
368	необходимо для	1	1
369	ни были	1	1
370	исследователь должен	1	1
371	подобно тому	6	1
372	его можно	1	1
373	так например	3	1
374	в нее	1	1
375	бы они	2	1
376	могла бы	4	1
377	они должны	1	1
378	в совершенно	1	1
379	мы уже	1	1
380	может возникнуть	1	1
381	бы быть	1	1
382	бы возможность	1	1
383	это было	3	1
384	ощущается как	1	1
385	или просто	2	1
386	материала к	2	1
387	и иных	2	1
388	научная литература	1	1
389	в один	3	1
390	нет в	1	1
391	это положение	2	1
392	ни одной	1	1
393	всеми другими	1	1
394	этом явлении	1	1
395	этого не	2	1
396	с тем	2	1
397	будем в	1	1
398	действительно не	1	1
399	нисколько не	1	1
400	точное определение	2	1
401	которую он	1	1
402	где мы	1	1
403	установить что	1	1
404	в которых	2	1
405	третьей задачи	1	1
406	однако в	2	1
407	не должно	1	1
408	совершенно особым	1	1
409	же может	2	1
410	или если	1	1
411	тому что	4	1
412	вообще невозможно	1	1
413	можно ли	1	1
414	таких случаях	2	1
415	вплоть до	1	1
416	обстоит не	1	1
417	до известной	1	1
418	дало бы	1	1
419	что с	1	1
420	и начинает	1	1
421	но для	2	1
422	в самых	2	1
423	иметь в	1	1
424	может только	1	1
425	основе очень	1	1
426	под этим	1	1
427	всего и	1	1
428	и независимо	1	1
429	во всей	1	1
430	к концу	1	1
431	велико так	1	1
432	эмпирическим путем	1	1
433	во избежание	1	1
434	так то	1	1
435	который позволил	1	1
436	и несколько	1	1
437	и со	1	1
438	материала но	2	1
439	очень часто	6	1
440	в момент	1	1
441	позволил бы	1	1
442	этого и	1	1
443	в наши	1	1
444	эти явления	1	1
445	приходит к	1	1
446	подобных случаях	4	1
447	как не	1	1
448	всего этого	1	1
449	без всякого	2	1
450	в в	2	1
451	ни стало	1	1
452	можно показать	2	1
453	они ни	1	1
454	если в	5	1
455	какое же	1	1
456	действия и	1	1
457	как с	1	1
458	всего следует	1	1
459	мог бы	1	1
460	оно как	2	1
461	иногда в	5	1
462	в одном	1	1
463	имеется в	3	1
464	даны в	1	1
465	что под	1	1
466	остановимся на	1	1
467	особый вид	2	1
468	чем является	1	1
469	предметов о	1	1
470	нашей работы	2	1
471	настоящее время	3	1
472	на что	1	1
473	для нас	2	1
474	а также	4	1
475	положения и	1	1
476	имеют отношение	1	1
477	во втором	3	1
478	уже только	1	1
479	основах своих	1	1
480	лишь к	1	1
481	что бы	1	1
482	мы вполне	1	1
483	сюда относится	1	1
484	этих проблем	1	1
485	что здесь	1	1
486	быть и	2	1
487	на которой	1	1
488	важное значение	1	1
489	на другие	2	1
490	этот вопрос	2	1
491	исследователя но	1	1
492	и действительно	1	1
493	его место	1	1
494	или же	6	1
495	не происходит	3	1
496	для всех	1	1
497	уже не	2	1
498	только на	1	1
499	каким образом	1	1
500	из них	3	1
501	связывается с	2	1
502	его и	2	1
503	для него	1	1
504	отсутствует а	1	1
505	с этими	1	1
506	ее не	1	1
507	друг друга	3	1
508	природой и	1	1
509	момент в	1	1
510	в работу	1	1
511	чему не	2	1
512	а эта	2	1
513	точек зрения	1	1
514	с другим	1	1
515	до сих	1	1
516	ли он	1	1
517	человека а	1	1
518	и самая	1	1
519	вплотную к	1	1
520	задача может	1	1
521	мы еще	1	1
522	могут иметь	1	1
523	только что	2	1
524	а на	3	1
525	менее мы	1	1
526	на этот	1	1
527	или другими	1	1
528	она является	1	1
529	во что	1	1
530	не совсем	1	1
531	которой есть	2	1
532	так называемой	1	1
533	одну из	1	1
534	о чем	1	1
535	на эту	1	1
536	быть определен	2	1
537	этом основании	1	1
538	всех других	1	1
539	что мы	2	1
540	и вне	3	1
541	входить в	2	1
542	но оно	2	1
543	быть объяснено	1	1
544	так же	3	1
545	до этого	1	1
546	смысл который	1	1
547	ведется в	1	1
548	видит в	1	1
549	есть они	1	1
550	она есть	1	1
551	образом и	1	1
552	в той	1	1
553	нашу задачу	1	1
554	тому как	5	1
555	первом случае	3	1
556	вне этой	1	1
557	в тот	1	1
558	существу вообще	1	1
559	форма в	3	1
560	быть не	1	1
561	есть и	4	1
562	как например	2	1
563	благодаря этому	3	1
564	есть то	1	1
565	сих пор	1	1
566	которое может	2	1
567	которые имеют	1	1
568	это уже	3	1
569	в следующей	1	1
570	формы с	1	1
571	и может	1	1
572	не существует	3	1
573	к тому	4	1
574	эта задача	1	1
575	это можно	1	1
576	в результате	7	1
577	в настоящее	3	1
578	материала можно	1	1
579	теряет свою	1	1
580	переносится в	1	1
581	но эта	1	1
582	но если	7	1
583	равно как	1	1
584	из этого	1	1
585	в свое	2	1
586	в которой	3	1
587	действия или	1	1
588	но эти	1	1
589	к этой	1	1
590	предполагает уже	1	1
591	или непосредственно	1	1
592	которая не	1	1
